# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0      5     51      -      0      0      0      0      0      0      -    208      0      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208      0      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208     74      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208     25      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208     77      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208     22      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208     79      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208      5      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208      0      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208     83      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208     16      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208     85      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208     14      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208     88      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208     11      0      -      -      0      -      -      0      -      - 
    0      5     51      -      0      0      0      0      0      0      -    208      0      0      -      -      0      -      -      0      -      - 
    0      5     50      -      0      0      0      0      0      0      -    208      0      0      -      -      0      -      -      0      -      - 
    0      5     50      -      0      0      0      0      0      0      -    208     94      0      -      -      0      -      -      0      -      - 
    0      5     50      -      0      0      0      0      0      0      -    208      5      0      -      -      0      -      -      0      -      - 
    0      5     50      -      0      0      0      0      0      0      -    208     96      0      -      -      0      -      -      0      -      - 
    0      5     50      -      0      0      0      0      0      0      -    208      5      0      -      -      0      -      -      0      -      - 
    0     13     55      -      3      0      0      0      0      0      -   2405      3      0      -      -      0      -      -      0      -      - 
    0     44     59      -     73      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
    0     47     59      -     91      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
    0     45     60      -     79      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
    0     46     56      -     96      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
    0     46     59      -     96      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
    0     52     63      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     49     62      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     45     63      -     33      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     50     64      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     50     63      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     50     64      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     49     65      -     35      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     54     64      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     49     66      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     56     67      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     45     67      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     49     67      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     48     67      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     55     65      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     47     64      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     48     62      -     27      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     55     69      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     62      -      0      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     43     62      -     12      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     55     72      -     96      0      0      0      0      0      -   2398      0      0      -      -      0      -      -      0      -      - 
    0     70     70      -     96      0      0      0      0      0      -   2411      0      0      -      -      0      -      -      0      -      - 
    0     69     69      -     96      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
    0     74     74      -     96      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
    0     72     72      -     96      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
    0     69     71      -     96      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
    0     75     76      -     96      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
    0     72     77      -     96      0      0      0      0      0      -   2398      0      0      -      -      0      -      -      0      -      - 
    0     70     72      -     96      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
    0     75     77      -     96      0      0      0      0      0      -   2405      0      0      -      -      0      -      -      0      -      - 
