read_id	clean_length	perturbed_length	length_change	clean_mean_qscore	perturbed_mean_qscore	mean_qscore_change	sequence_identical	edit_distance	normalized_edit_distance	sequence_identity_percent	alignment_identity_percent	matches	substitutions	insertions	deletions
000ed7f1-bc62-4311-bf8c-218e4a715d9a	1538	1545	7	29.951235	18.999353	-10.951883	0	135	0.0873786408	91.262136	91.525424	1458	32	55	48
0036953b-980e-47f3-bdd0-3923921aff69	318	310	-8	27.578616	19.248387	-8.330229	0	33	0.1037735849	89.622642	89.846154	292	11	7	15
00585866-be90-4bff-bf96-a5155418ff88	1397	1397	0	35.207588	26.292054	-8.915533	0	62	0.0443808160	95.561918	95.618375	1353	26	18	18
006afbd3-a5dd-488e-bcc6-e265cf8abbcd	3637	3598	-39	30.710476	20.823235	-9.887241	0	256	0.0703876822	92.961232	93.069843	3438	103	57	96
0073f3c0-5af0-4691-8100-10c5a30efc55	573	574	1	40.788831	24.921603	-15.867228	0	15	0.0261324042	97.386760	97.409326	564	4	6	5
00bb5df4-101b-4549-99f2-5df722844f98	972	967	-5	40.168724	28.934850	-11.233874	0	32	0.0329218107	96.707819	96.741344	950	7	10	15
00ef6a11-0fe8-400e-ade3-650aa30da177	360	395	35	33.305556	22.539241	-10.766315	0	47	0.1189873418	88.101266	88.220551	352	4	39	4
0137c47d-6551-4f1a-84f4-e9369da48266	1132	1133	1	38.645760	27.892321	-10.753438	0	26	0.0229479259	97.705207	97.719298	1114	11	8	7
01796034-9e1f-44db-8b06-2297bff85ab7	3206	3192	-14	36.148784	25.571742	-10.577042	0	160	0.0499064255	95.009357	95.075408	3089	60	43	57
01f5e7c3-c75d-4cc9-b8dd-89e4a6777b66	3145	3176	31	40.947854	30.857997	-10.089856	0	104	0.0327455919	96.725441	96.751015	3097	23	56	25
0202d0c0-9e10-4fb4-9908-d41d3583c054	488	471	-17	37.147541	23.420382	-13.727159	0	28	0.0573770492	94.262295	94.285714	462	7	2	19
029ac4f8-d2fe-4760-833c-8b952b71c658	357	288	-69	28.593838	9.680556	-18.913282	0	99	0.2773109244	72.268908	72.727273	264	18	6	75
02ac7244-7cba-4d0c-800e-ddeac889047e	2011	2014	3	41.400796	33.525819	-7.874976	0	56	0.0278053625	97.219464	97.237296	1971	27	16	13
