read_id	clean_length	perturbed_length	length_change	clean_mean_qscore	perturbed_mean_qscore	mean_qscore_change	sequence_identical	edit_distance	normalized_edit_distance	sequence_identity_percent	alignment_identity_percent	matches	substitutions	insertions	deletions
000ed7f1-bc62-4311-bf8c-218e4a715d9a	1538	1564	26	29.951235	29.464834	-0.486402	0	56	0.0358056266	96.419437	96.446701	1520	6	38	12
0036953b-980e-47f3-bdd0-3923921aff69	318	317	-1	27.578616	27.924290	0.345674	0	2	0.0062893082	99.371069	99.371069	316	1	0	1
00585866-be90-4bff-bf96-a5155418ff88	1397	1399	2	35.207588	35.083631	-0.123957	0	13	0.0092923517	99.070765	99.072753	1389	5	5	3
006afbd3-a5dd-488e-bcc6-e265cf8abbcd	3637	3636	-1	30.710476	30.723047	0.012572	0	27	0.0074237009	99.257630	99.259868	3621	4	11	12
0073f3c0-5af0-4691-8100-10c5a30efc55	573	573	0	40.788831	40.450262	-0.338569	0	2	0.0034904014	99.650960	99.651568	572	0	1	1
00bb5df4-101b-4549-99f2-5df722844f98	972	971	-1	40.168724	40.232750	0.064025	0	1	0.0010288066	99.897119	99.897119	971	0	0	1
00ef6a11-0fe8-400e-ade3-650aa30da177	360	397	37	33.305556	31.355164	-1.950392	0	37	0.0931989924	90.680101	90.680101	360	0	37	0
0137c47d-6551-4f1a-84f4-e9369da48266	1132	1133	1	38.645760	39.447485	0.801725	0	6	0.0052956752	99.470432	99.470432	1127	5	1	0
01796034-9e1f-44db-8b06-2297bff85ab7	3206	3197	-9	36.148784	36.101032	-0.047751	0	23	0.0071740487	99.282595	99.283489	3187	6	4	13
01f5e7c3-c75d-4cc9-b8dd-89e4a6777b66	3145	3150	5	40.947854	40.876190	-0.071663	0	9	0.0028571429	99.714286	99.714467	3143	0	7	2
0202d0c0-9e10-4fb4-9908-d41d3583c054	488	488	0	37.147541	36.395492	-0.752049	0	1	0.0020491803	99.795082	99.795082	487	1	0	0
029ac4f8-d2fe-4760-833c-8b952b71c658	357	357	0	28.593838	28.173669	-0.420168	0	6	0.0168067227	98.319328	98.324022	352	4	1	1
02ac7244-7cba-4d0c-800e-ddeac889047e	2011	2011	0	41.400796	41.557434	0.156638	1	0	0.0000000000	100.000000	100.000000	2011	0	0	0
02d9a072-aa01-41d8-9931-4f5972bdf075	4565	4565	0	38.745893	39.199124	0.453231	0	13	0.0028477547	99.715225	99.715536	4557	3	5	5
03404653-6e35-47ab-b9e4-b98f15b9e6e8	3961	3958	-3	38.854582	38.989136	0.134554	0	17	0.0042918455	99.570815	99.571248	3948	6	4	7
03ca6578-9f5b-4f53-8577-51ae5ec47898	31581	31569	-12	38.980210	38.915899	-0.064311	0	77	0.0024381749	99.756183	99.756345	31525	23	21	33
0465a968-47f0-46f3-8864-eaa7e7324a76	284	297	13	1.690141	1.737374	0.047233	0	243	0.8181818182	18.181818	18.181818	54	230	13	0
04cb0728-880b-430c-b213-b8c0cd5c50ff	481	482	1	31.347193	30.744813	-0.602380	0	2	0.0041493776	99.585062	99.585062	480	1	1	0
04fd143c-6822-4623-bb7a-91c71f7bcd14	590	590	0	40.889831	40.588136	-0.301695	1	0	0.0000000000	100.000000	100.000000	590	0	0	0
0505bf07-6018-40c7-98b3-86786d8c29ab	2561	2573	12	38.689965	38.324524	-0.365441	0	18	0.0069957248	99.300428	99.301242	2558	0	15	3
