filename	size_bytes	remote_path
PAO89685_pass__2264ba8c_afee3a87_1070.pod5	488828736	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1070.pod5
PAO89685_pass__2264ba8c_afee3a87_124.pod5	1224236888	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_124.pod5
PAO89685_pass__2264ba8c_afee3a87_1563.pod5	329901352	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1563.pod5
PAO89685_pass__2264ba8c_afee3a87_1673.pod5	612630696	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1673.pod5
PAO89685_pass__2264ba8c_afee3a87_1778.pod5	387029776	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1778.pod5
PAO89685_pass__2264ba8c_afee3a87_1820.pod5	288229912	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1820.pod5
PAO89685_pass__2264ba8c_afee3a87_1889.pod5	383902784	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1889.pod5
PAO89685_pass__2264ba8c_afee3a87_1891.pod5	717249416	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1891.pod5
PAO89685_pass__2264ba8c_afee3a87_1905.pod5	313571248	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1905.pod5
PAO89685_pass__2264ba8c_afee3a87_228.pod5	1219117472	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_228.pod5
PAO89685_pass__2264ba8c_afee3a87_230.pod5	1177810808	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_230.pod5
PAO89685_pass__2264ba8c_afee3a87_66.pod5	1369833032	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_66.pod5
PAO89685_pass__2264ba8c_afee3a87_84.pod5	1405263784	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_84.pod5
PAO89685_pass__2264ba8c_afee3a87_85.pod5	1229893448	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_85.pod5
PAO89685_pass__2264ba8c_afee3a87_887.pod5	444407768	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_887.pod5
PAO89685_pass__2264ba8c_afee3a87_888.pod5	523760144	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_888.pod5
PAO89685_pass__2264ba8c_afee3a87_958.pod5	892931200	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_958.pod5
