filename	size_bytes	remote_path
PAO89685_pass__2264ba8c_afee3a87_1155.pod5	536106000	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1155.pod5
PAO89685_pass__2264ba8c_afee3a87_1204.pod5	499384200	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1204.pod5
PAO89685_pass__2264ba8c_afee3a87_1388.pod5	509690216	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1388.pod5
PAO89685_pass__2264ba8c_afee3a87_214.pod5	1291851840	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_214.pod5
PAO89685_pass__2264ba8c_afee3a87_238.pod5	1167262080	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_238.pod5
PAO89685_pass__2264ba8c_afee3a87_258.pod5	1158860760	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_258.pod5
PAO89685_pass__2264ba8c_afee3a87_261.pod5	1205455264	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_261.pod5
PAO89685_pass__2264ba8c_afee3a87_38.pod5	1007952232	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_38.pod5
PAO89685_pass__2264ba8c_afee3a87_589.pod5	972811112	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_589.pod5
PAO89685_pass__2264ba8c_afee3a87_90.pod5	1331408928	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_90.pod5
PAO89685_pass__2264ba8c_afee3a87_990.pod5	667067432	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_990.pod5
