read_id	clean_length	perturbed_length	length_change	clean_mean_qscore	perturbed_mean_qscore	mean_qscore_change	sequence_identical	edit_distance	normalized_edit_distance	sequence_identity_percent	alignment_identity_percent	matches	substitutions	insertions	deletions
000ed7f1-bc62-4311-bf8c-218e4a715d9a	1538	1572	34	29.951235	18.952290	-10.998945	0	114	0.0725190840	92.748092	92.870544	1485	26	61	27
01f5e7c3-c75d-4cc9-b8dd-89e4a6777b66	3145	3123	-22	40.947854	30.255844	-10.692010	0	84	0.0267090620	97.329094	97.347648	3083	18	22	44
0812e3c5-97ef-4297-8a99-8789e523ff34	3730	3661	-69	35.288204	19.888282	-15.399922	0	360	0.0965147453	90.348525	90.498812	3429	173	59	128
0ab78041-5951-4e3e-8ecf-46a380edf1f8	2323	2312	-11	39.491175	27.223616	-12.267559	0	82	0.0352991821	96.470082	96.503198	2263	27	22	33
0c4cddec-181d-4f12-b068-1fc04dcce924	325	312	-13	24.393846	18.625000	-5.768846	0	29	0.0892307692	91.076923	91.131498	298	12	2	15
0e13ed29-4c55-4a48-acd0-9745414fd8be	3372	3367	-5	38.599644	28.311256	-10.288388	0	113	0.0335112693	96.648873	96.689130	3300	26	41	46
0f192d1b-b2ef-4e2c-a1e3-533100490fd5	2061	2038	-23	35.526929	25.622669	-9.904259	0	102	0.0494905386	95.050946	95.093795	1977	43	18	41
1329b616-0d49-41b3-8d12-426ec659d086	662	644	-18	30.938066	20.777950	-10.160116	0	44	0.0664652568	93.353474	93.423019	625	12	7	25
176feeba-ea05-4772-8c6e-4b97f97b136a	2549	2527	-22	38.842683	28.491888	-10.350796	0	72	0.0282463711	97.175363	97.187500	2488	28	11	33
177739d2-fb28-453b-a88c-19c65550871c	717	711	-6	40.390516	29.059072	-11.331444	0	12	0.0167364017	98.326360	98.326360	705	6	0	6
18e4a73b-e09a-493b-ba25-15c797e5864b	404	405	1	34.400990	25.930864	-8.470126	0	18	0.0444444444	95.555556	95.609756	392	7	6	5
19dfcdae-1802-4735-9d80-5dd6f3bf0055	739	728	-11	27.604871	18.939560	-8.665311	0	82	0.1109607578	88.903924	89.167768	675	35	18	29
1bdef138-b878-4168-aeea-2a2551ecd48e	544	545	1	35.257353	29.425688	-5.831665	0	6	0.0110091743	98.899083	98.899083	539	5	1	0
1e013367-847f-4bd5-a6da-8750dd79935a	294	361	67	2.493197	2.063712	-0.429485	0	102	0.2825484765	71.745152	71.745152	259	35	67	0
1f7014c9-7c36-4a5d-90ef-4759f46b947f	1646	1615	-31	39.162211	27.513932	-11.648280	0	82	0.0498177400	95.018226	95.075075	1583	13	19	50
20a4eac0-51c1-409b-b2e7-4dafdcff9f92	4007	3996	-11	41.190916	30.138388	-11.052528	0	107	0.0267032693	97.329673	97.347546	3927	42	27	38
21754b1a-558c-4150-b9d5-3f0683319771	726	724	-2	41.059229	27.367403	-13.691825	0	30	0.0413223140	95.867769	95.918367	705	10	9	11
23b7700e-9586-485f-87bd-a89e6c2790c7	4087	4063	-24	37.272327	23.926901	-13.345426	0	181	0.0442867629	95.571324	95.622733	3954	61	48	72
247261cf-d768-4c4b-aab1-7432593cf99e	1657	1694	37	35.820760	24.550767	-11.269993	0	96	0.0566706021	94.332940	94.399067	1618	19	57	20
2472d10d-f5a6-4945-bf3f-8f30573d2d23	1275	1276	1	35.193725	26.041536	-9.152189	0	51	0.0399686520	96.003135	96.046512	1239	22	15	14
24ad99de-3703-4e9f-8b9a-938ea3982619	2666	2642	-24	39.468117	28.225965	-11.242152	0	128	0.0480120030	95.198800	95.246937	2565	50	27	51
250ca00f-6175-49c6-aa39-3cc7d77d38f8	2066	2091	25	39.966602	30.611191	-9.355411	0	85	0.0406504065	95.934959	95.977283	2028	16	47	22
26ba733d-e186-4bef-9432-a056a157b564	5652	5682	30	38.576964	29.160683	-9.416281	0	180	0.0316789863	96.832101	96.860830	5554	46	82	52
271d1f97-00fc-40c5-8241-7bfb6ccd7303	1579	1573	-6	41.305256	33.240941	-8.064316	0	25	0.0158328056	98.416719	98.423707	1561	5	7	13
292ef219-01db-4f93-b999-6d6a560aa355	399	394	-5	25.974937	22.040609	-3.934328	0	32	0.0802005013	91.979950	92.156863	376	9	9	14
33087256-f1d2-418b-b69d-feb8f1fe0743	4347	4352	5	30.070623	25.921415	-4.149208	0	127	0.0291819853	97.081801	97.103102	4257	58	37	32
345117ee-e4e5-403c-88cc-629c03ca7065	831	822	-9	37.701564	23.454988	-14.246577	0	47	0.0565583634	94.344164	94.431280	797	12	13	22
34f98559-c31d-4072-8747-16ad7da9fcfd	458	456	-2	34.163755	23.817982	-10.345773	0	34	0.0742358079	92.576419	92.735043	434	12	10	12
3a0a0061-6b4f-45ae-805a-0013d0c42a4e	644	635	-9	38.574534	25.785827	-12.788707	0	25	0.0388198758	96.118012	96.136012	622	10	3	12
