read_id	clean_length	perturbed_length	length_change	clean_mean_qscore	perturbed_mean_qscore	mean_qscore_change	sequence_identical	edit_distance	normalized_edit_distance	sequence_identity_percent	alignment_identity_percent	matches	substitutions	insertions	deletions
000ed7f1-bc62-4311-bf8c-218e4a715d9a	1538	1557	19	29.951235	18.867694	-11.083541	0	150	0.0963391137	90.366089	90.630856	1451	43	63	44
01f5e7c3-c75d-4cc9-b8dd-89e4a6777b66	3145	3144	-1	40.947854	29.899173	-11.048681	0	71	0.0225755167	97.742448	97.760959	3100	18	26	27
0812e3c5-97ef-4297-8a99-8789e523ff34	3730	3698	-32	35.288204	19.883721	-15.404483	0	401	0.1075067024	89.249330	89.497119	3417	193	88	120
0ab78041-5951-4e3e-8ecf-46a380edf1f8	2323	2319	-4	39.491175	26.364812	-13.126363	0	110	0.0473525613	95.264744	95.325117	2243	46	30	34
0c4cddec-181d-4f12-b068-1fc04dcce924	325	317	-8	24.393846	16.255521	-8.138326	0	25	0.0769230769	92.307692	92.354740	302	13	2	10
0e13ed29-4c55-4a48-acd0-9745414fd8be	3372	3362	-10	38.599644	27.490184	-11.109460	0	117	0.0346975089	96.530249	96.568915	3293	31	38	48
0f192d1b-b2ef-4e2c-a1e3-533100490fd5	2061	2038	-23	35.526929	26.365554	-9.161374	0	80	0.0388161087	96.118389	96.144578	1995	29	14	37
1329b616-0d49-41b3-8d12-426ec659d086	662	657	-5	30.938066	18.015221	-12.922846	0	55	0.0830815710	91.691843	91.875923	622	20	15	20
176feeba-ea05-4772-8c6e-4b97f97b136a	2549	2526	-23	38.842683	27.876485	-10.966199	0	88	0.0345233425	96.547666	96.573209	2480	27	19	42
177739d2-fb28-453b-a88c-19c65550871c	717	715	-2	40.390516	28.841958	-11.548558	0	35	0.0488145049	95.118550	95.198903	694	9	12	14
18e4a73b-e09a-493b-ba25-15c797e5864b	404	402	-2	34.400990	23.323383	-11.077607	0	20	0.0495049505	95.049505	95.121951	390	6	6	8
19dfcdae-1802-4735-9d80-5dd6f3bf0055	739	727	-12	27.604871	20.086657	-7.518214	0	60	0.0811907984	91.880920	92.000000	690	26	11	23
1bdef138-b878-4168-aeea-2a2551ecd48e	544	545	1	35.257353	28.434862	-6.822491	0	7	0.0128440367	98.715596	98.717949	539	4	2	1
1e013367-847f-4bd5-a6da-8750dd79935a	294	432	138	2.493197	2.840278	0.347080	0	175	0.4050925926	59.490741	59.490741	257	37	138	0
1f7014c9-7c36-4a5d-90ef-4759f46b947f	1646	1603	-43	39.162211	28.274485	-10.887726	0	87	0.0528554070	94.714459	94.752714	1571	20	12	55
20a4eac0-51c1-409b-b2e7-4dafdcff9f92	4007	3984	-23	41.190916	30.360693	-10.830223	0	115	0.0286997754	97.130022	97.152761	3924	28	32	55
21754b1a-558c-4150-b9d5-3f0683319771	726	715	-11	41.059229	28.355245	-12.703984	0	28	0.0385674931	96.143251	96.164384	702	9	4	15
