condition	sigma_fraction	seed	paired_reads	changed_sequences	changed_sequence_fraction	mean_edit_distance	mean_sequence_identity_percent	mean_qscore_change	mean_length_change
GN01	0.01	1	100	96	0.9600000000	16.090000	98.717109	-0.184145	0.820000
GN01	0.01	2	100	93	0.9300000000	14.470000	98.982689	-0.083067	1.120000
GN01	0.01	3	100	91	0.9100000000	12.480000	99.237884	-0.087769	0.510000
GN01	0.01	4	100	94	0.9400000000	17.360000	98.293264	-0.138844	0.890000
GN01	0.01	5	100	94	0.9400000000	17.070000	98.654893	-0.107741	-0.380000
GN05	0.05	1	100	99	0.9900000000	43.070000	97.422292	-2.358517	-2.320000
GN05	0.05	2	100	100	1.0000000000	43.670000	97.149281	-2.316486	-3.120000
GN05	0.05	3	100	98	0.9800000000	42.320000	97.686597	-2.154335	-2.130000
GN05	0.05	4	100	100	1.0000000000	44.120000	97.501200	-2.312022	0.360000
GN05	0.05	5	100	100	1.0000000000	40.710000	97.573998	-2.373500	-1.190000
GN10	0.10	1	100	100	1.0000000000	113.430000	93.558362	-10.296920	-0.950000
GN10	0.10	2	100	100	1.0000000000	112.380000	93.945450	-10.434556	-3.750000
GN10	0.10	3	100	100	1.0000000000	115.010000	93.671805	-10.297563	-0.050000
GN10	0.10	4	100	100	1.0000000000	115.200000	93.574816	-10.270288	-2.010000
GN10	0.10	5	100	100	1.0000000000	113.590000	93.749203	-10.311296	-1.410000
