metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	1
changed_sequences	999
changed_sequence_fraction	0.9990000000
total_edit_distance	274567
mean_edit_distance	274.567000
median_edit_distance	119.000000
p95_edit_distance	1116.250000
mean_normalized_edit_distance	0.0722841680
median_normalized_edit_distance	0.0488909297
p95_normalized_edit_distance	0.2065079365
mean_sequence_identity_percent	92.771583
median_sequence_identity_percent	95.110907
mean_alignment_identity_percent	92.913172
total_matches	4738461
total_substitutions	92612
total_insertions	73854
total_deletions	108101
mean_clean_length	4939.174000
mean_perturbed_length	4904.927000
mean_length_change	-34.247000
median_absolute_length_change	18.000000
reads_with_length_change	981
mean_clean_qscore	34.204719
mean_perturbed_qscore	23.530722
mean_qscore_change	-10.673997
median_qscore_change	-10.681849
reads_with_qscore_decrease	981
reads_with_qscore_increase	19
reads_with_unchanged_qscore	0
