metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	0
changed_sequences	100
changed_sequence_fraction	1.0000000000
total_edit_distance	11359
mean_edit_distance	113.590000
median_edit_distance	82.000000
p95_edit_distance	307.300000
mean_normalized_edit_distance	0.0625079682
median_normalized_edit_distance	0.0455103943
p95_normalized_edit_distance	0.1385874396
mean_sequence_identity_percent	93.749203
median_sequence_identity_percent	95.448961
mean_alignment_identity_percent	93.842561
total_matches	204446
total_substitutions	3710
total_insertions	3754
total_deletions	3895
mean_clean_length	2120.510000
mean_perturbed_length	2119.100000
mean_length_change	-1.410000
median_absolute_length_change	12.000000
reads_with_length_change	98
mean_clean_qscore	35.026829
mean_perturbed_qscore	24.715533
mean_qscore_change	-10.311296
median_qscore_change	-10.390035
reads_with_qscore_decrease	99
reads_with_qscore_increase	1
reads_with_unchanged_qscore	0
