metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	77
changed_sequences	923
changed_sequence_fraction	0.9230000000
total_edit_distance	39625
mean_edit_distance	39.625000
median_edit_distance	12.000000
p95_edit_distance	137.100000
mean_normalized_edit_distance	0.0148507265
median_normalized_edit_distance	0.0048098956
p95_normalized_edit_distance	0.0401891593
mean_sequence_identity_percent	98.514927
median_sequence_identity_percent	99.519010
mean_alignment_identity_percent	98.528366
total_matches	4911298
total_substitutions	13100
total_insertions	11749
total_deletions	14776
mean_clean_length	4939.174000
mean_perturbed_length	4936.147000
mean_length_change	-3.027000
median_absolute_length_change	2.000000
reads_with_length_change	819
mean_clean_qscore	34.204719
mean_perturbed_qscore	34.080519
mean_qscore_change	-0.124200
median_qscore_change	-0.113964
reads_with_qscore_decrease	724
reads_with_qscore_increase	276
reads_with_unchanged_qscore	0
