read_id	clean_mapped	perturbed_mapped	mapping_transition	clean_chrom	perturbed_chrom	chromosome_changed	clean_start	perturbed_start	coordinate_shift_bp	large_coordinate_shift_ge100	large_coordinate_shift_ge1000	clean_strand	perturbed_strand	strand_changed	clean_mapq	perturbed_mapq	mapq_change	mapq_drop_ge5	mapq_drop_ge10	clean_nm	perturbed_nm	nm_change	clean_cigar	perturbed_cigar	cigar_changed	clean_soft_clip	perturbed_soft_clip	soft_clip_change	clean_hard_clip	perturbed_hard_clip	hard_clip_change	clean_insertion_bases	perturbed_insertion_bases	insertion_change	clean_deletion_bases	perturbed_deletion_bases	deletion_change	clean_aligned_query_length	perturbed_aligned_query_length	aligned_query_length_change	clean_reference_span	perturbed_reference_span	reference_span_change	clean_secondary_count	perturbed_secondary_count	secondary_count_change	clean_supplementary_count	perturbed_supplementary_count	supplementary_count_change
000ed7f1-bc62-4311-bf8c-218e4a715d9a	1	1	mapped_to_mapped	chr2	chr2	0	209684170	209684170	0	0	0	+	+	0	60	60	0	0	0	60	105	45	1S38M2I473M7I250M3I7M2I2M1D300M1I16M1D14M1D215M2I7M1I15M4I1M1D6M1I28M1I55M1D37M5D3M2I44M	39S38M2I211M1D63M1I53M1D65M3I30M1D9M1D3M2I2M1D19M1I3M1D9M7I14M1D60M1I130M1I4M1D40M3I1M1D3M2I44M1I4M1I4M1D18M2I18M1D14M1D12M1I7M1D166M2I9M1I10M2D24M1D212M1I3M2I7M1I15M4I1M1D9M2I1M1D21M1D1M1D40M1D13M1D37M5D3M1D42M	1	1	39	38	0	0	0	26	41	15	10	28	18	1537	1533	-4	1521	1520	-1	0	0	0	0	0	0
0036953b-980e-47f3-bdd0-3923921aff69	1	1	mapped_to_mapped	chr1	chr1	0	119829216	119829216	0	0	0	-	-	0	60	60	0	0	0	7	19	12	2S65M1D88M1I2M2I124M34S	2S65M1D69M1I4M1I51M1I2M2D22M2D62M36S	1	36	38	2	0	0	0	3	3	0	1	5	4	282	278	-4	280	280	0	0	0	0	0	0	0
00585866-be90-4bff-bf96-a5155418ff88	1	1	mapped_to_mapped	chr6	chr6	0	64989898	64989898	0	0	0	+	+	0	60	60	0	0	0	19	39	20	1S977M1D359M1I19M1I4M5D5M1D10M20S	37S292M1D79M1D6M1I75M1D211M1I5M1D47M1D4M1D57M1I89M5D281M1D30M1I53M1D77M2D13M66S	1	21	103	82	0	0	0	2	4	2	7	15	8	1376	1323	-53	1381	1334	-47	0	0	0	0	0	0
006afbd3-a5dd-488e-bcc6-e265cf8abbcd	1	1	mapped_to_mapped	chr1	chr1	0	84064441	84064445	4	0	0	+	+	0	60	60	0	0	0	105	262	157	34S54M6D22M2I376M1D3M1D6M1D40M2D242M1D65M1D145M2D206M1D5M1D3M1D3M1I135M1I355M1I100M2D6M1I26M1I47M1D1M1D68M1D129M1I24M1D150M1I30M1D2M1D14M1D54M4D173M1D3M2D228M1D14M1D120M2D131M2I152M1I8M2I3M1I151M3D130M1I99M1I38M2D24M1S	38S51M5D3M4D13M2I84M1D147M1I1M2D141M4D5M1D4M1I40M2D97M1I2M1I21M1D37M1I13M1D22M2D6M2D37M2D46M1I19M1D7M1I2M2D3M2I1M1I91M1I1M1I39M1D43M1D208M2D61M1D39M1I206M1D14M1I111M1D2M1D15M1I17M1I1M1I24M1D8M1I6M1D42M1D9M2D3M2D6M1D12M1D3M1D42M1D1M1D1M1D24M3I27M1D15M2D55M1I17M1I15M1D31M1D6M1I2M1D24M1D38M1D14M2I97M2I30M1D2M1D14M2D37M2D14M4D6M1D4M1D161M2D5M2D12M1D43M1D39M1D36M2I70M2D17M3D15M1D130M2D2M1D45M7D5M1D114M2I26M2I3M1D68M1I11M1I118M1D11M3D14M4D3M3D8M1I10M1D61M1I7M1D5M3D2M1D28M1I9M1I4M1D123M2D9M15S	1	35	53	18	0	0	0	17	42	25	43	116	73	3602	3535	-67	3628	3609	-19	0	0	0	0	0	0
0073f3c0-5af0-4691-8100-10c5a30efc55	1	1	mapped_to_mapped	chr12	chr12	0	112595073	112595077	4	0	0	-	-	0	60	60	0	0	0	9	13	4	2S45M4D193M2I331M	4S44M1D1M1D191M2I163M1I103M2D1M1I62M	1	2	4	2	0	0	0	2	4	2	4	4	0	571	569	-2	573	569	-4	0	0	0	0	0	0
00bb5df4-101b-4549-99f2-5df722844f98	1	1	mapped_to_mapped	chr2	chr2	0	195699374	195699375	1	0	0	+	+	0	60	60	0	0	0	1	9	8	908M1I63M	26M1D30M1D114M2I2M1I131M1D160M1D502M1S	1	0	1	1	0	0	0	1	3	2	0	4	4	972	968	-4	971	969	-2	0	0	0	0	0	0
00ef6a11-0fe8-400e-ade3-650aa30da177	1	1	mapped_to_mapped	chr5	chr5	0	180386311	180386311	0	0	0	+	+	0	59	44	-15	1	1	13	13	0	1S24M1D82M3I2M1D245M3S	35S24M1D23M1D59M1D219M1D26M3S	1	4	38	34	0	0	0	3	0	-3	2	4	2	356	351	-5	355	355	0	0	0	0	0	0	0
0137c47d-6551-4f1a-84f4-e9369da48266	1	1	mapped_to_mapped	chr4	chr4	0	85177637	85177637	0	0	0	+	+	0	60	60	0	0	0	0	17	17	33S1088M11S	34S30M1D33M1D48M1D83M1I3M1D614M1I273M11S	1	44	45	1	0	0	0	0	2	2	0	4	4	1088	1086	-2	1088	1088	0	0	0	0	0	0	0
01796034-9e1f-44db-8b06-2297bff85ab7	1	1	mapped_to_mapped	chr20	chr20	0	45307349	45307384	35	0	0	+	+	0	60	60	0	0	0	79	136	57	31S14M4D6M3I44M1D7M3D1M1D5M3D100M5D3M1D11M1D7M3D21M1I9M4D2M2D22M1I22M1I173M1I497M1I498M1I148M2D8M2D95M1D353M2I22M1D296M1I3M1I449M2I337M7S	58S9M1I24M1D7M3D3M1D1M1D3M1D14M1I29M2I55M2D4M2D9M1D4M1D1M1D5M3D23M1I37M1I7M3D4M1I2M2I1M1I4M1D39M2I4M1D160M1D117M1D4M2D118M2D3M1I120M1I106M1D28M1D211M4I93M2D45M1I9M1I37M1D133M2D74M1D10M2D192M1I30M1D21M1D2M1I67M1D134M1I4M1I18M1D56M2D5M1I192M1D6M1D33M1I156M1I63M4D229M4I42M1D294M5S	1	38	63	25	0	0	0	15	31	16	34	51	17	3168	3132	-36	3187	3152	-35	0	0	0	0	0	0
01f5e7c3-c75d-4cc9-b8dd-89e4a6777b66	1	1	mapped_to_mapped	chr2	chr2	0	48378702	48378702	0	0	0	-	-	0	60	60	0	0	0	16	84	68	113M1D407M2I572M2D845M1D2M3D1035M1I168M	199M1D48M1I114M1D23M1D103M3I2M1I42M2D21M1D34M5D2M1D259M1I11M1D8M1I214M10D76M1D24M3D8M3D8M2I136M3I123M1I425M1I30M1I4M1D45M2D145M1I176M1D270M1D14M2D340M3D33M1D138M1I6M2D25M	1	0	0	0	0	0	0	3	17	14	7	43	36	3145	3123	-22	3149	3149	0	0	0	0	0	0	0
