metric	value
input_pod5	/home/admin/datasets/GenoPhylax/A2_signal_perturbations/gaussian_noise_1000reads/pod5/hg002_1000reads_clean.pod5
output_pod5	/home/admin/datasets/GenoPhylax/A2_signal_perturbations/gaussian_noise_1000reads/pod5/hg002_1000reads_GN10_seed1.pod5
sigma_fraction	0.1
seed	1
max_reads	1000
processed_reads	1000
total_signal_samples	59591073
changed_signal_samples	57817482
changed_sample_fraction	0.9702373038
clipped_signal_samples	0
clipped_sample_fraction	0.0000000000
mean_noise_sigma	14.010939
mean_absolute_signal_change	11.108362
