filename	size_bytes	remote_path
PAO89685_pass__2264ba8c_afee3a87_1551.pod5	370973920	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1551.pod5
PAO89685_pass__2264ba8c_afee3a87_1555.pod5	251235832	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1555.pod5
PAO89685_pass__2264ba8c_afee3a87_1755.pod5	544626608	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_1755.pod5
PAO89685_pass__2264ba8c_afee3a87_262.pod5	1310933056	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_262.pod5
PAO89685_pass__2264ba8c_afee3a87_264.pod5	1248872512	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_264.pod5
PAO89685_pass__2264ba8c_afee3a87_394.pod5	975434232	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_394.pod5
PAO89685_pass__2264ba8c_afee3a87_395.pod5	976193088	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_395.pod5
PAO89685_pass__2264ba8c_afee3a87_472.pod5	1044681832	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_472.pod5
PAO89685_pass__2264ba8c_afee3a87_473.pod5	978730344	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_473.pod5
PAO89685_pass__2264ba8c_afee3a87_521.pod5	852904608	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_521.pod5
PAO89685_pass__2264ba8c_afee3a87_6.pod5	859494840	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_6.pod5
PAO89685_pass__2264ba8c_afee3a87_614.pod5	723228216	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_614.pod5
PAO89685_pass__2264ba8c_afee3a87_663.pod5	933466456	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_663.pod5
PAO89685_pass__2264ba8c_afee3a87_730.pod5	801837912	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_730.pod5
PAO89685_pass__2264ba8c_afee3a87_787.pod5	592916296	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_787.pod5
PAO89685_pass__2264ba8c_afee3a87_80.pod5	1341525216	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_80.pod5
PAO89685_pass__2264ba8c_afee3a87_866.pod5	541559992	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_866.pod5
PAO89685_pass__2264ba8c_afee3a87_910.pod5	383880096	giab_2023.05/flowcells/hg002/20230424_1302_3H_PAO89685_2264ba8c/pod5_pass/PAO89685_pass__2264ba8c_afee3a87_910.pod5
