metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	0
changed_sequences	100
changed_sequence_fraction	1.0000000000
total_edit_distance	11267
mean_edit_distance	112.670000
median_edit_distance	82.000000
p95_edit_distance	319.150000
mean_normalized_edit_distance	0.0611365876
median_normalized_edit_distance	0.0469309111
p95_normalized_edit_distance	0.1290306083
mean_sequence_identity_percent	93.886341
median_sequence_identity_percent	95.306909
mean_alignment_identity_percent	93.979561
total_matches	204503
total_substitutions	3727
total_insertions	3719
total_deletions	3821
mean_clean_length	2120.510000
mean_perturbed_length	2119.490000
mean_length_change	-1.020000
median_absolute_length_change	11.000000
reads_with_length_change	99
mean_clean_qscore	35.026829
mean_perturbed_qscore	24.915960
mean_qscore_change	-10.110869
median_qscore_change	-10.340903
reads_with_qscore_decrease	99
reads_with_qscore_increase	1
reads_with_unchanged_qscore	0
